epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.994,1.31824,2.28467,1.68897,1.35766,0.55325,0.55968,0.51338,0.20967,0.50936,0.48582,0.43558,0.16609,1.70747,1.28016,1.78252,1.76308,0.00066601,0.00066601,0.00066601
2,234.175,1.3365,2.17274,1.39588,1.36935,0.51879,0.58853,0.49233,0.24215,0.47377,0.49747,0.37468,0.15327,1.50822,1.27015,1.74237,1.62737,0.00130629,0.00130629,0.00130629
3,341.011,1.29367,2.16536,1.3336,1.3517,0.54972,0.65008,0.57684,0.31824,0.4851,0.54047,0.43689,0.17245,1.3783,1.44889,1.60305,1.58812,0.00192017,0.00192017,0.00192017
4,444.657,1.22903,2.11095,1.26339,1.31121,0.60051,0.66442,0.61846,0.30293,0.56622,0.543,0.51487,0.21423,1.48226,1.35787,1.73869,1.6022,0.0018812,0.0018812,0.0018812
5,551.227,1.1779,2.03755,1.19453,1.2847,0.79698,0.6855,0.74161,0.44647,0.72765,0.60202,0.61251,0.31231,1.27847,1.20279,1.32546,1.42541,0.0018416,0.0018416,0.0018416
6,652.714,1.12255,1.99903,1.13,1.25564,0.79443,0.70709,0.77085,0.48711,0.70247,0.60371,0.61249,0.31148,1.16275,1.19726,1.24639,1.32442,0.001802,0.001802,0.001802
7,754.987,1.11621,2.02186,1.11592,1.24791,0.71421,0.71221,0.73573,0.46274,0.63963,0.62395,0.60897,0.29157,1.18209,1.17876,1.22514,1.34479,0.0017624,0.0017624,0.0017624
8,856.759,1.08791,1.96486,1.09235,1.23511,0.73932,0.71922,0.75642,0.49016,0.65688,0.61985,0.6105,0.31039,1.13468,1.07048,1.16205,1.31294,0.0017228,0.0017228,0.0017228
9,958.452,1.06546,1.96579,1.07036,1.22364,0.79216,0.70381,0.77368,0.5277,0.714,0.61889,0.62871,0.3297,1.0948,1.13256,1.13621,1.25692,0.0016832,0.0016832,0.0016832
10,1060,1.0578,1.92294,1.0483,1.22013,0.78525,0.73378,0.79399,0.54368,0.71961,0.64587,0.66569,0.34442,1.0402,1.08291,1.09465,1.23624,0.0016436,0.0016436,0.0016436
11,1161.8,1.04633,1.92393,1.02378,1.20999,0.80163,0.72919,0.79053,0.55349,0.71377,0.63322,0.64689,0.33369,1.03241,1.10132,1.07219,1.21774,0.001604,0.001604,0.001604
12,1262.77,1.02005,1.87575,1.00078,1.20541,0.81402,0.73808,0.80473,0.55838,0.74451,0.66095,0.64241,0.31842,1.01745,1.04836,1.06256,1.20152,0.0015644,0.0015644,0.0015644
13,1363.8,1.0116,1.89996,0.99876,1.19535,0.79265,0.71879,0.79322,0.55706,0.71612,0.65008,0.6677,0.34538,1.01308,1.04784,1.06876,1.19733,0.0015248,0.0015248,0.0015248
14,1464.93,1.00637,1.85768,0.99092,1.19364,0.81981,0.71838,0.80937,0.58341,0.75303,0.64165,0.67413,0.35839,0.97491,1.04208,1.02222,1.16097,0.0014852,0.0014852,0.0014852
15,1566.43,0.98553,1.85243,0.97622,1.17917,0.77155,0.73186,0.78855,0.57172,0.72427,0.64671,0.65811,0.35963,0.95382,1.04091,1.02743,1.16015,0.0014456,0.0014456,0.0014456
16,1667.71,0.98208,1.85051,0.96778,1.18062,0.81841,0.74789,0.81589,0.58923,0.74258,0.65177,0.67853,0.35261,0.9602,1.02415,0.98987,1.13645,0.001406,0.001406,0.001406
17,1770.43,0.97636,1.8449,0.95982,1.17471,0.83938,0.73356,0.82498,0.59126,0.76652,0.64497,0.68526,0.36862,0.93896,1.0112,0.98634,1.15009,0.0013664,0.0013664,0.0013664
18,1872.34,0.95459,1.8066,0.92965,1.16349,0.83469,0.75779,0.83573,0.61858,0.76288,0.68128,0.70594,0.37241,0.92378,1.02076,0.95366,1.11678,0.0013268,0.0013268,0.0013268
19,1973.93,0.94827,1.80912,0.92451,1.1664,0.84509,0.75211,0.83816,0.6227,0.75779,0.65684,0.6851,0.37133,0.90254,1.04487,0.95312,1.1085,0.0012872,0.0012872,0.0012872
20,2075.83,0.94059,1.813,0.91881,1.15916,0.85122,0.74536,0.83957,0.6265,0.77465,0.66526,0.70599,0.38288,0.9097,1.00536,0.94431,1.10929,0.0012476,0.0012476,0.0012476
21,2176.52,0.94507,1.80098,0.9199,1.15559,0.8557,0.72934,0.82459,0.60932,0.78143,0.6484,0.68067,0.36511,0.8915,0.98392,0.98424,1.09866,0.001208,0.001208,0.001208
22,2278.06,0.94013,1.79599,0.91684,1.15946,0.86755,0.75659,0.84349,0.62615,0.78479,0.68297,0.70168,0.36924,0.88518,0.98986,0.92743,1.10819,0.0011684,0.0011684,0.0011684
23,2379.41,0.92149,1.78026,0.88597,1.14629,0.86124,0.75042,0.84292,0.64809,0.79063,0.67116,0.71322,0.38497,0.87276,1.04451,0.89135,1.07602,0.0011288,0.0011288,0.0011288
24,2481.08,0.92354,1.77464,0.88624,1.14864,0.84662,0.76476,0.84058,0.64108,0.76527,0.68723,0.70503,0.38371,0.85908,0.98743,0.9033,1.06377,0.0010892,0.0010892,0.0010892
25,2582.55,0.92055,1.75828,0.88013,1.14667,0.85124,0.74705,0.84896,0.64499,0.79419,0.64748,0.70379,0.38473,0.85293,1.00844,0.90844,1.06261,0.0010496,0.0010496,0.0010496
26,2684.25,0.90689,1.76086,0.88916,1.13666,0.82619,0.76951,0.85376,0.65901,0.80613,0.67875,0.7345,0.40313,0.84053,0.9988,0.87818,1.05336,0.00101,0.00101,0.00101
27,2786.41,0.90838,1.7566,0.88166,1.14298,0.85039,0.76203,0.85125,0.65528,0.77815,0.67369,0.70913,0.38911,0.84365,0.97506,0.87175,1.0639,0.0009704,0.0009704,0.0009704
